Project,Path,Class,ReleaseId,LOC,StmtCount,Cyclomatic,Cognitive,DistinctOperators,DistinctOperands,TotalOperators,TotalOperands,Vocabulary,Length,Volume,Difficulty,Effort,MaxNestingDepth,isLongMethod,isGodClass,isFeatureEnvy,isDuplicatedCode,CodeSmells,NSmells,Touches,prevCodeSmells,prevBuggy,Buggy
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java/,"org.apache.bookkeeper.client.LedgerRecoveryOp",release-4.1.0,108,54,11,6,8,39,34,120,47.0,154.0,855.4066831583561,12.307692307692308,10528.082254256691,2,0,1,1,0,4,6,6,6,yes,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServerMXBean.java/,"org.apache.bookkeeper.proto.BookieServerMXBean",release-4.1.0,33,0,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java/,"org.apache.hedwig.server.persistence.ReadAheadCache.DeliveredUntil",release-4.1.0,42,21,6,4,3,28,8,43,31.0,51.0,252.66401182973067,2.303571428571429,582.0295986792011,2,0,0,1,0,1,2,3,1,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/util/IOUtils.java/,"org.apache.bookkeeper.util.IOUtils",release-4.1.0,26,12,3,2,3,9,4,14,12.0,18.0,64.52932501298082,2.3333333333333335,150.56842503028858,2,0,0,1,0,0,1,1,0,no,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java/,"org.apache.hedwig.admin.console.HedwigConsole.MyCommand",release-4.1.0,3,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,2,0,no,yes
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/,"org.apache.hedwig.protocol.PubSubProtocol.PubSubRequest.Builder",release-4.1.0,605,445,140,50,5,108,117,575,113.0,692.0,4719.56384199131,13.310185185185187,62818.26873020842,3,1,1,1,0,2,5,1,2,yes,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java/,"org.apache.bookkeeper.client.AsyncCallback.CloseCallback",release-4.1.0,13,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,no,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java/,"org.apache.hedwig.server.topics.AbstractTopicManager",release-4.1.0,163,43,10,1,3,47,7,92,50.0,99.0,558.7417627876977,2.9361702127659575,1640.5609205255803,1,1,0,1,0,3,5,1,3,yes,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java/,"org.apache.hedwig.admin.console.HedwigConsole.RmsubCmd",release-4.1.0,34,28,5,4,6,36,14,68,42.0,82.0,442.1700286678584,5.666666666666666,2505.630162451197,2,0,0,1,0,3,4,2,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats.java/,"org.apache.bookkeeper.proto.BKStats",release-4.1.0,208,20,9,3,3,16,8,41,19.0,49.0,208.14844815873568,3.84375,800.0705976101402,1,0,0,1,0,2,3,1,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/admin/HedwigAdmin.java/,"org.apache.hedwig.admin.HedwigAdmin.MyWatcher",release-4.1.0,4,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,no,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java/,"org.apache.bookkeeper.proto.NIOServerFactory.Cnxn",release-4.1.0,355,193,44,29,17,94,63,294,111.0,357.0,2425.606464286988,26.585106382978722,64485.00589631045,4,1,1,1,0,12,15,4,12,yes,no
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java/,"org.apache.bookkeeper.client.BookKeeper",release-4.1.0,521,107,28,10,6,75,31,237,81.0,268.0,1699.0798007730796,9.48,16107.276511328795,2,0,1,1,0,4,6,7,3,yes,yes
bookkeeper,/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java/,"org.apache.bookkeeper.bookie.LedgerStorage",release-4.1.0,59,0,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,no,no
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java/,"org.apache.hedwig.admin.console.HedwigConsole",release-4.1.0,967,237,31,20,9,165,51,463,174.0,514.0,3825.6729568662467,12.627272727272727,48307.81579170197,3,1,1,1,0,82,85,2,0,no,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigCommands.java/,"org.apache.hedwig.admin.console.HedwigCommands",release-4.1.0,397,42,7,3,8,156,9,279,164.0,288.0,2118.974977330008,7.153846153846154,15158.820991668521,2,0,1,1,0,6,8,2,0,no,yes
bookkeeper,/hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java/,"org.apache.hedwig.server.topics.TrivialOwnAllTopicManager",release-4.1.0,30,11,5,1,0,11,0,17,11.0,17.0,58.81033751683406,0.0,0.0,1,0,0,1,0,0,1,1,0,no,yes
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/,"org.apache.hedwig.protocol.PubSubProtocol.StartDeliveryRequest.Builder",release-4.1.0,139,85,31,11,5,37,16,88,42.0,104.0,560.8010119689911,5.9459459459459465,3334.492503599407,3,0,1,1,0,2,4,1,2,yes,no
bookkeeper,/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java/,"org.apache.hedwig.protocol.PubSubProtocol.ProtocolVersion",release-4.1.0,64,26,12,2,2,20,3,31,22.0,34.0,151.6206750336681,1.55,235.01204630218558,1,0,1,1,0,0,2,1,0,yes,no
